home,category,contacts_found,contacts_with_email,contacts_with_phone
Field House,ICB,3,0,0
Field House,Hospital discharge,4,2,4
Field House,Local authority commissioning,3,1,2
Field House,Care-fees adviser,2,1,2
Field House,Hospice/palliative,1,0,1
Field House,Dementia café,2,1,2
Field House,Carer centre,3,2,3
Field House,Faith/community,5,3,5
Field House,ABI/PI/Rehab,7,5,6
Field House,GP/community nursing,3,0,2
Ashview Nursing,ICB,3,0,0
Ashview Nursing,Hospital discharge,2,1,2
Ashview Nursing,Local authority commissioning,3,1,2
Ashview Nursing,Care-fees adviser,2,1,2
Ashview Nursing,Hospice/palliative,2,2,2
Ashview Nursing,Dementia café,4,2,4
Ashview Nursing,Carer centre,3,1,3
Ashview Nursing,Faith/community,5,2,4
Ashview Nursing,ABI/PI/Rehab,5,4,4
Ashview Nursing,GP/community nursing,3,2,2
Broome End,ICB,1,0,0
Broome End,Hospital discharge,3,2,3
Broome End,Local authority commissioning,3,2,1
Broome End,Care-fees adviser,3,2,3
Broome End,Hospice/palliative,2,2,2
Broome End,Dementia café,4,4,3
Broome End,Carer centre,3,2,2
Broome End,Faith/community,6,6,5
Broome End,ABI/PI/Rehab,5,4,5
Broome End,GP/community nursing,5,2,5
Brook House,ICB,3,0,0
Brook House,Hospital discharge,3,3,3
Brook House,Local authority commissioning,2,1,0
Brook House,Care-fees adviser,2,1,1
Brook House,Hospice/palliative,1,0,1
Brook House,Dementia café,5,2,4
Brook House,Carer centre,3,1,2
Brook House,Faith/community,4,2,4
Brook House,ABI/PI/Rehab,5,2,3
Brook House,GP/community nursing,4,2,4
Clevedon Court,ICB,4,1,1
Clevedon Court,Hospital discharge,3,2,3
Clevedon Court,Local authority commissioning,2,1,1
Clevedon Court,Care-fees adviser,2,2,2
Clevedon Court,Hospice/palliative,2,2,2
Clevedon Court,Dementia café,4,2,4
Clevedon Court,Carer centre,3,2,3
Clevedon Court,Faith/community,5,2,5
Clevedon Court,ABI/PI/Rehab,5,2,5
Clevedon Court,GP/community nursing,4,1,4
